callsign,icao24,typecode,airport,timestamp
QQE211,06a36d,UNKNOWN,LSZH,2026-03-01 12:00:01+00:00
DAH1172,0a0076,B738,LSZH,2026-03-01 12:40:43+00:00
DLA1RL,3003ae,E195,LSZH,2026-03-01 12:27:30+00:00
DLA4HV,3007ee,E195,LSZH,2026-03-01 12:52:10+00:00
VLG88MK,345042,A321,LSZH,2026-03-01 12:00:01+00:00
IBE06CH,34608f,A20N,LSZH,2026-03-01 12:38:03+00:00
VOE4DU,3481c4,UNKNOWN,LSZH,2026-03-01 12:23:33+00:00
AFR84NY,398565,E190,LSZH,2026-03-01 12:44:15+00:00
AFR49JR,3991e7,A320,LSZH,2026-03-01 12:47:55+00:00
EWG7XR,3c4906,A320,LSZH,2026-03-01 12:00:01+00:00
EWG9ZT,3c5ee4,A319,LSZH,2026-03-01 12:58:26+00:00
EWG55PA,3c5ee5,A319,LSZH,2026-03-01 12:00:01+00:00
EWG73A,3c5ee8,A319,LSZH,2026-03-01 13:47:29+00:00
DLH8VM,3c658d,A319,LSZH,2026-03-01 12:28:29+00:00
DEFGM,3d1284,C172,LSZH,2026-03-01 13:02:59+00:00
DEFYY,3d1464,UNKNOWN,LSZH,2026-03-01 12:13:03+00:00
DEMPY,3d25f6,DV20,LSZH,2026-03-01 13:30:11+00:00
DEWEH,3d3f2f,DA40,LSZH,2026-03-01 12:00:04+00:00
DGOAL,3db2fb,UNKNOWN,LSZH,2026-03-01 12:00:08+00:00
XRO1087,3e32f6,UNKNOWN,LSZH,2026-03-01 12:39:37+00:00
DMVEG,3feff1,GYRO,LSZH,2026-03-01 13:30:20+00:00
AUA13D,44006c,A320,LSZH,2026-03-01 12:53:27+00:00
EJU43XM,440159,A320,LSZH,2026-03-01 12:42:47+00:00
AUA265,44081f,E195,LSZH,2026-03-01 13:11:22+00:00
GPX5SA,451e8b,A319,LSZH,2026-03-01 12:21:19+00:00
WZZ50,471dbb,UNKNOWN,LSZH,2026-03-01 12:10:07+00:00
WMT7WB,471f01,A321,LSZH,2026-03-01 13:32:57+00:00
WZZ2GE,471f3d,A21N,LSZH,2026-03-01 12:00:01+00:00
WMT4848,471f63,A321,LSZH,2026-03-01 12:41:00+00:00
WMT683,471f8e,A320,LSZH,2026-03-01 13:15:40+00:00
KLM1921,48548e,E75L,LSZH,2026-03-01 12:00:01+00:00
NJE266M,491d8d,UNKNOWN,LSZH,2026-03-01 13:07:28+00:00
HUE12P,4b0dd0,UNKNOWN,LSZH,2026-03-01 12:39:30+00:00
HBFXI,4b0f92,PC12,LSZH,2026-03-01 12:27:06+00:00
PJZ063,4b18d9,UNKNOWN,LSZH,2026-03-01 13:26:07+00:00
SWR39,4b191c,B77W,LSZH,2026-03-01 13:39:30+00:00
SWR41G,4b191d,B77W,LSZH,2026-03-01 13:17:13+00:00
SWR80K,4b194b,A21N,LSZH,2026-03-01 12:56:13+00:00
SAZ72,4b1a02,CL60,LSZH,2026-03-01 12:36:39+00:00
EJU47XB,4b1a2f,UNKNOWN,LSZH,2026-03-01 12:00:01+00:00
EZS604T,4b1a34,A320,LSZH,2026-03-01 12:23:41+00:00
EZS48VR,4b1a67,A320,LSZH,2026-03-01 13:03:49+00:00
HBOMN,4b263d,P28A,LSZH,2026-03-01 13:25:54+00:00
HBPKR,4b28b1,P28A,LSZH,2026-03-01 12:47:50+00:00
HBSGY,4b303c,UNKNOWN,LSZH,2026-03-01 12:17:31+00:00
HBZVO,4b4434,AS50,LSZH,2026-03-01 12:00:03+00:00
TKJ9UR,4bab4f,B738,LSZH,2026-03-01 13:25:38+00:00
TKJ80D,4bab54,B738,LSZH,2026-03-01 12:09:00+00:00
THY30R,4bb274,A21N,LSZH,2026-03-01 12:03:14+00:00
PGT3DY,4bc886,UNKNOWN,LSZH,2026-03-01 12:34:53+00:00
PGT47LK,4bc889,UNKNOWN,LSZH,2026-03-01 12:14:07+00:00
ASL81Z,4c0260,UNKNOWN,LSZH,2026-03-01 12:47:54+00:00
RYR6238,4cade2,UNKNOWN,LSZH,2026-03-01 12:00:01+00:00
SAS667,4caf16,UNKNOWN,LSZH,2026-03-01 13:10:02+00:00
SAS603,4cafd7,CRJ9,LSZH,2026-03-01 12:34:22+00:00
WMT6VH,4d2100,UNKNOWN,LSZH,2026-03-01 12:29:52+00:00
EWG59G,4d240d,A320,LSZH,2026-03-01 13:40:57+00:00
WZZ2U,4d2424,A21N,LSZH,2026-03-01 12:00:01+00:00
FIX005,506c45,UNKNOWN,LSZH,2026-03-01 13:17:44+00:00
N250SA,a2590f,P46T,LSZH,2026-03-01 13:30:33+00:00
